Exit,City,Street,Timestamp,Vehicles Count,Traffic State,Gate State
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:10,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:10,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:11,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:11,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:12,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:13,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:14,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:14,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:15,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:15,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:16,16,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:16,16,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:17,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:17,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:18,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:19,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:19,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:19,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:20,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:21,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:21,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:22,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:23,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:24,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:25,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:25,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:26,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:26,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:27,20,Heavy,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:27,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:28,19,Medium,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:28,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:29,18,Medium,Closed
